,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
3411,3,NA1_4171013005,52,47,104,98711,115701,239.2,239.2,66943,1,0,4,1,3,0,0,LOSS
3413,5,NA1_4170899151,52,58,109,115859,168218,237,237,68557,1,3,1,1,1,3,0,LOSS
3415,7,NA1_4170070813,77,79,193,330189,280656,209.8,209.8,105697,0,1,3,0,2,2,0,LOSS
3417,9,NA1_4170006520,29,43,63,81127,76119,296.6,296.6,52717,1,1,3,2,1,0,0,LOSS
3419,11,NA1_4170040011,43,56,99,94835,95693,194.2,194.2,56514,2,1,1,4,0,0,0,LOSS
3421,13,NA1_4169808700,45,54,121,136434,134992,231.4,231.4,62959,1,2,3,1,1,1,0,LOSS
3423,15,NA1_4169596819,83,87,175,274452,272140,372.2,372.2,106101,2,1,2,1,1,0,0,LOSS
3425,17,NA1_4120565158,54,87,120,175390,266986,389.4,389.4,84218,1,3,1,0,2,2,0,LOSS
3427,19,NA1_4120553491,31,34,80,103237,81432,281.6,281.6,52692,1,1,4,0,1,1,0,LOSS
3429,21,NA1_4117948880,53,57,123,123500,143085,255.4,255.4,68744,2,2,1,2,0,2,0,LOSS
3431,23,NA1_4117954472,33,45,75,96051,98030,184.8,184.8,58893,0,1,2,1,3,2,0,LOSS
3433,25,NA1_4117951909,42,44,108,108560,125456,247.4,247.4,70477,0,0,2,3,3,0,0,LOSS
3435,27,NA1_4117959955,30,44,66,94782,87271,216,216,52800,2,3,1,1,0,2,0,LOSS
3437,29,NA1_4117878537,40,54,104,125027,148079,216.2,216.2,68418,3,1,2,3,0,0,0,LOSS
3439,31,NA1_4116851588,32,46,73,120344,120702,235.4,235.4,69273,4,0,1,2,1,0,0,LOSS
3441,33,NA1_4116181981,49,54,114,131170,169984,256.4,256.4,70700,0,2,3,1,1,2,0,LOSS
3443,35,NA1_4114799117,13,23,34,35086,52544,250.2,250.2,37990,0,1,4,1,2,0,0,LOSS
