,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
250,36,NA1_4159402286,42,24,126,67098,77109,365.8,365.8,51622,1,2,2,0,3,2,1,WIN
252,38,NA1_4159349373,52,42,114,120032,134197,261,261,65403,2,4,2,0,1,1,1,WIN
254,40,NA1_4159363880,58,46,135,150719,138935,220.6,220.6,72330,0,2,2,1,1,3,1,WIN
256,42,NA1_4159257483,51,53,116,122248,172006,307.4,307.4,67753,0,2,2,2,1,2,1,WIN
258,44,NA1_4158800849,56,38,123,115048,92945,334,334,63758,2,1,0,2,0,1,1,WIN
260,46,NA1_4158384120,64,60,111,164439,206330,326.6,326.6,89390,1,0,4,1,2,1,1,WIN
262,48,NA1_4158342255,59,45,136,152968,149163,156.4,156.4,70067,1,3,1,1,0,2,1,WIN
264,50,NA1_4158325636,49,55,107,165053,174833,317.4,317.4,76517,3,2,2,1,1,0,1,WIN
266,52,NA1_4158322312,55,37,115,120164,112822,208.6,208.6,69533,1,0,4,3,0,1,1,WIN
268,54,NA1_4158177097,69,67,166,291897,262810,107.2,107.2,96458,1,2,2,1,2,1,1,WIN
270,56,NA1_4157749060,56,43,131,139835,157267,364.6,364.6,71966,0,2,3,0,1,2,1,WIN
272,58,NA1_4156101949,52,56,90,169907,164364,241.6,241.6,87639,2,0,3,1,1,1,1,WIN
274,60,NA1_4154602348,69,38,157,146547,98313,408.2,408.2,69480,2,2,2,1,1,1,1,WIN
276,62,NA1_4153463810,70,89,134,277957,252609,309.4,309.4,105434,3,1,3,1,1,0,1,WIN
278,64,NA1_4153480472,52,46,113,113687,111538,349.6,349.6,63119,3,3,0,1,0,1,1,WIN
280,66,NA1_4153441222,74,63,207,192155,173511,227,227,93507,1,1,4,0,2,0,1,WIN
282,68,NA1_4153368607,43,39,97,100991,121228,331.4,331.4,71768,1,1,4,1,1,0,1,WIN
284,70,NA1_4153376338,22,9,66,32847,17997,176.6,176.6,30415,1,0,4,1,2,0,1,WIN
286,72,NA1_4152352187,60,51,149,168045,141242,200.8,200.8,82928,1,1,2,2,2,2,1,WIN
288,74,NA1_4152308734,51,36,139,122638,102288,287.4,287.4,69443,0,1,4,1,2,0,1,WIN
290,76,NA1_4152249766,57,40,139,143156,121695,173.6,173.6,70315,1,1,3,2,1,1,1,WIN
292,78,NA1_4152207469,50,45,115,106451,122656,237.8,237.8,62056,1,3,2,0,1,2,1,WIN
294,80,NA1_4151275417,47,27,101,129253,91423,429,429,65078,1,0,4,2,2,0,1,WIN
296,0,NA1_4171434055,50,55,126,147714,164696,229,229,73396,1,2,2,1,2,1,1,WIN
298,2,NA1_4170280795,49,47,98,116739,114273,249.6,249.6,65160,1,2,3,2,1,0,1,WIN
300,4,NA1_4170225087,58,46,110,158528,100883,243.2,243.2,72068,4,0,3,1,0,0,1,WIN
302,6,NA1_4170158970,61,62,129,140644,169955,213.2,213.2,75419,3,3,0,2,1,1,1,WIN
304,8,NA1_4170143423,40,31,98,85036,101104,406.6,406.6,62987,2,2,2,1,2,0,1,WIN
306,10,NA1_4170108549,44,33,111,87388,66687,324.6,324.6,55042,2,1,3,2,1,0,1,WIN
308,12,NA1_4170072943,41,42,98,99707,125654,378.8,378.8,65603,1,2,2,1,2,1,1,WIN
310,14,NA1_4170046788,57,29,128,89224,93307,470.8,470.8,58778,2,3,2,1,1,0,1,WIN
312,16,NA1_4168797695,61,45,137,190320,149360,244.4,244.4,86090,2,0,3,2,1,0,1,WIN
314,18,NA1_4168761406,51,41,116,114553,103169,167.8,167.8,68977,2,1,0,3,2,1,1,WIN
316,20,NA1_4168686689,59,36,135,145992,126960,429,429,67090,2,3,1,0,0,2,1,WIN
318,22,NA1_4168729827,52,34,101,114632,135788,163.2,163.2,68014,1,3,2,0,2,2,1,WIN
320,24,NA1_4168624329,60,50,114,157778,151437,415,415,81643,0,1,3,2,2,1,1,WIN
322,26,NA1_4168284798,42,36,73,80672,75823,495,495,57360,3,4,1,0,0,1,1,WIN
324,28,NA1_4168281126,39,32,94,93427,96079,175.2,175.2,60222,1,2,2,1,2,1,1,WIN
326,30,NA1_4168187000,51,39,122,124165,126426,203.8,203.8,69597,2,1,2,1,1,1,1,WIN
328,32,NA1_4168203136,55,44,121,130989,111387,432,432,71065,2,3,2,1,1,0,1,WIN
330,34,NA1_4167998634,49,59,123,152659,157042,257.8,257.8,84577,1,0,4,2,2,0,1,WIN
332,36,NA1_4167375303,39,19,88,69585,46989,254.6,254.6,47644,0,0,4,2,0,0,1,WIN
334,38,NA1_4167349746,47,38,129,90158,71263,448.6,448.6,56419,0,0,5,2,0,1,1,WIN
336,40,NA1_4167274302,49,49,137,135421,142712,409.2,409.2,72826,0,1,2,2,2,1,1,WIN
338,42,NA1_4167219485,40,44,78,96204,88669,367.6,367.6,57239,1,3,2,1,1,1,1,WIN
340,44,NA1_4167173688,58,52,130,247870,181730,456.8,456.8,90230,1,1,2,2,2,1,1,WIN
342,46,NA1_4166279361,70,44,169,141772,165219,476,476,86716,0,2,2,2,2,1,1,WIN
344,48,NA1_4166023589,43,37,83,143150,133105,428.4,428.4,79418,2,1,2,1,2,1,1,WIN
346,50,NA1_4165645836,44,32,127,101645,102228,382.8,382.8,61330,1,1,3,0,3,0,1,WIN
348,52,NA1_4165663159,51,42,100,113914,135202,382.8,382.8,64806,0,2,2,1,2,2,1,WIN
350,54,NA1_4165691148,43,32,88,85539,72914,302.8,302.8,58929,3,2,3,0,1,0,1,WIN
352,56,NA1_4165637875,61,72,121,195081,211405,314,314,104793,3,2,1,1,1,1,1,WIN
354,58,NA1_4164768922,41,41,105,96793,94976,251.4,251.4,57398,0,1,3,2,1,1,1,WIN
356,60,NA1_4163788585,35,24,104,72960,69498,211.2,211.2,49152,1,2,4,1,2,0,1,WIN
358,62,NA1_4163804357,32,26,80,64594,81353,504.8,504.8,52650,1,0,1,1,1,2,1,WIN
360,64,NA1_4163781615,44,28,128,134969,79126,296.2,296.2,63154,1,1,2,2,2,1,1,WIN
362,66,NA1_4163750633,48,25,138,102565,56659,359.2,359.2,53714,1,1,4,1,2,0,1,WIN
364,68,NA1_4163722601,63,55,150,168677,179816,198.4,198.4,86756,2,2,1,2,1,0,1,WIN
366,70,NA1_4163638580,32,30,73,97635,83202,272,272,58515,2,1,1,2,2,0,1,WIN
368,72,NA1_4163547101,63,58,111,136997,132269,353,353,75173,1,1,1,3,0,0,1,WIN
370,74,NA1_4163554187,25,21,52,40501,50507,294.4,294.4,40264,3,3,2,1,0,1,1,WIN
372,76,NA1_4162371744,69,49,176,188151,138293,239.6,239.6,88616,1,0,3,1,2,0,1,WIN
374,78,NA1_4162315517,48,46,120,114556,169462,352,352,74274,1,3,2,0,1,2,1,WIN
376,80,NA1_4162227477,64,65,120,161798,233843,297.4,297.4,82555,0,3,2,1,0,2,1,WIN
378,82,NA1_4162195963,41,26,88,76846,63130,147.6,147.6,49995,0,2,2,1,1,2,1,WIN
380,84,NA1_4162138285,53,37,144,126046,106177,355.2,355.2,64395,1,1,4,1,2,1,1,WIN
382,86,NA1_4162102651,48,35,95,93080,134263,404.4,404.4,66974,1,3,1,0,2,3,1,WIN
384,88,NA1_4161209225,53,38,98,104579,117061,449.6,449.6,64233,2,3,1,1,1,1,1,WIN
386,90,NA1_4161213530,53,46,129,131595,125456,449.6,449.6,71967,0,2,3,1,2,1,1,WIN
388,92,NA1_4160138982,41,31,93,61165,69284,474.2,474.2,50563,0,1,3,2,1,0,1,WIN
390,94,NA1_4159754070,61,54,149,141339,197907,196.6,196.6,83524,3,3,2,0,0,1,1,WIN
392,96,NA1_4159698326,58,41,114,114541,111223,196.6,196.6,67924,3,1,1,3,0,0,1,WIN
394,98,NA1_4158783920,50,51,107,134156,161657,184.8,184.8,78765,1,2,2,1,1,1,1,WIN
396,100,NA1_4158707209,78,72,147,258942,242384,384.2,384.2,107664,3,1,1,1,1,0,1,WIN
398,102,NA1_4158684402,59,36,154,156447,147351,155,155,78347,1,1,3,1,2,2,1,WIN
400,0,NA1_4171357792,58,41,136,121232,112596,281.6,281.6,68349,0,1,3,2,1,1,1,WIN
402,2,NA1_4170257825,84,74,182,238163,260698,163.8,163.8,119573,1,1,3,1,1,1,1,WIN
404,4,NA1_4170252030,51,49,77,122635,146600,213.2,213.2,72756,1,1,4,1,0,2,1,WIN
406,6,NA1_4170215307,40,28,105,86086,109333,202.4,202.4,65649,1,3,2,1,3,0,1,WIN
408,8,NA1_4170158970,61,62,129,140644,169955,213.2,213.2,75419,3,3,0,2,1,1,1,WIN
410,10,NA1_4170109687,72,74,138,290732,204011,213,213,109775,0,1,4,1,1,0,1,WIN
412,12,NA1_4169824219,67,60,148,209938,231699,189.8,189.8,88474,2,3,2,0,2,1,1,WIN
414,14,NA1_4169820020,54,50,84,110792,154718,135,135,62577,2,3,1,1,0,1,1,WIN
416,16,NA1_4169775128,51,42,123,112977,110782,210.4,210.4,65622,2,1,2,2,1,1,1,WIN
418,18,NA1_4169760857,54,40,110,118838,134428,210.4,210.4,70859,1,1,2,2,1,2,1,WIN
420,20,NA1_4169755101,39,36,80,98807,112544,194.8,194.8,63831,0,2,1,3,0,2,1,WIN
422,22,NA1_4169698848,69,75,155,218695,224875,216.6,216.6,98773,3,1,2,0,2,1,1,WIN
424,24,NA1_4169664193,71,57,169,201632,171036,210,210,85351,4,0,2,2,1,1,1,WIN
426,26,NA1_4169638953,63,55,114,129714,149021,201,201,79739,1,3,3,1,0,0,1,WIN
428,28,NA1_4168826871,31,24,87,83831,66529,227.4,227.4,49273,1,3,1,2,1,1,1,WIN
430,30,NA1_4168788488,51,33,127,98584,75496,220,220,57126,1,2,3,1,1,0,1,WIN
432,32,NA1_4168792420,53,28,103,89586,103579,147.2,147.2,58637,1,3,2,0,1,3,1,WIN
434,34,NA1_4168715641,48,28,111,120080,111757,212.4,212.4,65202,1,1,2,3,1,1,1,WIN
436,36,NA1_4168659706,47,44,98,121259,131356,219.4,219.4,66658,1,4,1,1,0,2,1,WIN
438,38,NA1_4168558383,48,42,102,119203,101873,200.2,200.2,65469,2,0,1,2,2,0,1,WIN
440,40,NA1_4168513110,65,62,125,182607,168551,200.2,200.2,79877,2,3,2,1,1,1,1,WIN
442,42,NA1_4168457625,61,51,147,124221,129724,211,211,76484,1,1,2,3,2,0,1,WIN
444,44,NA1_4168415503,44,31,118,79919,85666,137.2,137.2,55279,1,0,3,1,2,2,1,WIN
446,46,NA1_4167848309,57,61,119,144843,133996,242.8,242.8,72372,2,2,2,1,1,0,1,WIN
448,48,NA1_4167845012,64,52,140,167136,119706,223.4,223.4,72705,1,1,1,3,1,1,1,WIN
450,50,NA1_4167891772,61,40,119,106220,93616,228,228,59782,1,0,3,2,1,0,1,WIN
452,52,NA1_4167801529,40,31,105,116834,129739,114.2,114.2,73240,2,2,3,0,2,0,1,WIN
454,54,NA1_4167351846,47,35,93,80288,87089,231.2,231.2,56983,0,2,2,1,3,2,1,WIN
456,56,NA1_4167306378,64,64,106,133081,169032,240.8,240.8,73860,1,3,2,1,0,1,1,WIN
458,58,NA1_4167281656,49,43,97,111450,131556,214.6,214.6,67119,2,3,2,0,1,1,1,WIN
460,60,NA1_4167225887,51,45,112,126112,117209,231.2,231.2,71627,1,1,3,2,1,1,1,WIN
462,62,NA1_4167230902,57,33,131,123412,85329,188.4,188.4,69184,2,0,3,1,2,0,1,WIN
464,64,NA1_4167054507,41,44,87,105641,127112,164.8,164.8,64539,0,2,1,2,0,2,1,WIN
466,66,NA1_4166980387,37,31,95,71288,67126,210.8,210.8,52645,3,3,2,1,1,0,1,WIN
468,68,NA1_4166244637,43,38,103,128249,96154,266.6,266.6,73434,1,1,3,2,1,0,1,WIN
470,70,NA1_4166199276,48,63,89,116345,134041,332,332,73724,1,2,1,2,1,1,1,WIN
472,72,NA1_4166018958,56,57,138,202055,245535,151,151,93411,2,1,2,1,3,1,1,WIN
474,74,NA1_4166032034,57,42,128,132757,143076,181.8,181.8,86613,1,0,2,2,1,0,1,WIN
476,76,NA1_4165987136,47,48,121,129416,130567,269.2,269.2,66288,2,3,2,0,1,1,1,WIN
