,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
194,NA1_4124223596,76,52,134,174316,143484,762,87677,1,2,2,1,1,1,1
195,NA1_4124223596,52,76,110,129311,184617,874,83918,3,2,1,2,1,0,0
0,NA1_4170259244,67,62,120,159705,154051,1141,74952,3,3,2,0,1,0,1
1,NA1_4170259244,62,67,139,134072,165349,1130,71605,1,1,2,1,1,2,0
2,NA1_4166413039,55,29,153,93581,81268,1880,61038,0,1,3,1,2,0,1
3,NA1_4166413039,29,55,58,75932,102487,1338,52017,2,3,1,0,1,2,0
4,NA1_4166410915,26,22,71,40388,45904,1303,36345,0,2,3,1,3,1,1
5,NA1_4166410915,22,26,50,39779,44549,1338,35048,2,1,1,3,1,0,0
6,NA1_4165107733,86,59,188,184298,171218,1435,82237,1,3,2,0,1,1,1
7,NA1_4165107733,59,86,100,160823,199265,1118,75556,3,2,3,0,0,1,0
8,NA1_4164498027,62,40,138,139395,104073,1356,61359,2,3,1,2,0,1,1
9,NA1_4164498027,40,62,104,90044,145879,1076,53747,2,1,3,1,1,1,0
10,NA1_4163581567,64,59,145,131666,213162,1086,82333,2,3,1,2,0,2,1
11,NA1_4163581567,58,64,141,200444,148468,1183,78221,1,2,1,1,0,2,0
12,NA1_4162741558,65,52,146,136380,123312,977,73375,1,0,3,2,4,0,1
13,NA1_4162741558,52,65,101,112727,141825,1327,66752,1,1,2,2,1,0,0
14,NA1_4161207302,57,36,155,88140,82885,1288,58129,0,1,2,3,1,0,1
15,NA1_4161207302,36,57,70,79169,94958,1512,50167,1,2,2,1,0,2,0
16,NA1_4161209736,86,92,170,236724,261949,1316,99770,3,2,2,1,0,1,1
17,NA1_4161209736,91,86,218,248741,252068,1269,99597,1,1,3,1,2,1,0
0,NA1_4168554716,55,52,122,129733,129240,832,74221,2,4,2,0,1,1,1
1,NA1_4168554716,52,55,98,121403,137097,2190,69997,0,2,4,0,2,1,0
2,NA1_4168284798,42,36,73,80672,75823,2475,57360,3,4,1,0,0,1,1
3,NA1_4168284798,36,42,101,70385,84289,1388,54540,1,2,1,3,1,0,0
4,NA1_4168261804,50,33,134,103972,98190,991,61451,2,1,3,2,2,0,1
5,NA1_4168261804,33,50,78,87903,114786,2059,53812,1,4,1,0,2,1,0
6,NA1_4167707851,38,36,77,102667,108670,1114,69358,1,3,3,1,0,1,1
7,NA1_4167707851,36,38,104,96893,107782,1530,66056,1,1,2,2,1,1,0
8,NA1_4167726479,33,17,73,55265,38879,1286,44438,0,0,3,3,0,0,1
9,NA1_4167726479,17,33,50,34315,58158,1278,36777,1,2,2,1,1,1,0
10,NA1_4167017198,48,50,83,123760,130680,1541,72846,2,3,0,1,0,2,1
11,NA1_4167017198,50,48,125,114943,127182,1231,70547,0,1,3,3,1,0,0
12,NA1_4166630584,44,31,119,97517,93027,1451,56771,0,2,2,1,1,1,1
13,NA1_4166630584,31,44,88,86472,103649,1406,51110,0,2,2,2,2,1,0
14,NA1_4165992259,64,68,101,131485,193574,1790,79857,1,3,2,0,1,2,1
15,NA1_4165992259,68,64,142,180883,141849,989,80404,4,2,1,2,0,0,0
16,NA1_4165879774,46,36,119,104806,117612,1010,59883,2,3,1,1,0,1,1
17,NA1_4165879774,36,46,80,104201,110873,1977,56344,2,3,3,0,0,2,0
18,NA1_4165357779,63,44,156,153516,180599,1608,77723,0,4,2,0,1,3,1
19,NA1_4165357779,44,63,108,163999,158033,1414,72828,0,2,2,2,0,2,0
